equipo,partido,ptiempo,con,segundos,tag_id,numero,x_pos,y_pos,heading,direction,energy,speed,total_distance.x,total_distance.y,high_intensity_distance,sprint_distance,total_effort,colour,total_effort_diff,total_energy_diff,total_dist_diff,total_sprint_diff
E1,P2,T1,18:10:005,900,5,12,44.2744,42.4555,-2.87749,3.10186,4803.5,1.69002,3518.77,3520.1,180.025,16.8878,4805.89,#F0FF00,3.19,3.39,1.59,0
E1,P2,T1,18:20:005,1200,5,12,41.2084,32.2526,-2.8366,-2.77631,4028.39,2.84192,2879,2880.15,146.763,14.4316,4030.31,#F0FF00,8.82,7.92,7.78,0
E1,P2,T1,18:25:005,1500,5,12,44.2744,42.4555,-2.87749,3.10186,4803.5,1.69002,3518.77,3520.1,180.025,16.8878,4805.89,#F0FF00,3.19,3.39,1.59,0
E1,P2,T1,18:30:005,1800,5,12,45.386,49.8209,0.980335,1.26641,5614.29,2.80983,4190.53,4191.79,213.009,19.5521,5621.17,#F0FF00,16.94,11.88,5.51,0
E1,P2,T1,18:25:005,2100,5,12,35.5428,30.3117,1.04015,-0.170872,364.374,0.644301,297.906,298.337,0,0,365.091,#F0FF00,0,0,0,0
E1,P2,T1,18:30:005,2400,5,12,20.3851,24.1478,-1.86853,1.54269,2261.34,1.58029,1581.49,1581.49,86.3103,11.3954,2261.34,#F0FF00,2.91,2.91,1.94,0
E1,P2,T1,18:45:005,2700,5,12,46.4567,43.7746,-1.42871,-0.955939,8210.83,3.40124,6164.29,6164.64,329.305,21.848,8211.54,#F0FF00,7.13,12.35,3.88,0
E1,P2,T1,18:15:006,69,6,12,46.2611,67.8541,-2.47556,0,36.4342,0,35.4837,35.4837,0.937756,1.14067,36.4342,#96FF00,0.0014,0.0018,0,0
E1,P2,T1,18:15:006,300,6,12,46.2611,67.8541,-2.47556,0,36.4342,0,35.4837,35.4837,0.937756,1.14067,36.4342,#96FF00,0.0014,0.0018,0,0
E1,P2,T1,18:30:006,600,6,12,46.2611,67.8541,-2.47556,0,36.4342,0,35.4837,35.4837,0.937756,1.14067,36.4342,#96FF00,0.0014,0.0018,0,0
