Club,Vs,GolFavor,GolContra,PosesionCl,TirosCl,TirosAGolCl,FaltasCl,CornersCl,ParadasCl,FueraJuegoCl,TAmarillaCl,TRojaCl,PosesionCont,TirosCont,TirosAGolCont,FaltasCont,CornersCont,ParadasCont,FueraJuegoCont,TAmarillaCont,TRojaCont,Tipo,Fecha,Lugar,AsistenciaEstadio,Resultado,AsistenciaEstadioPje,key,Ataque,Defensa
Toluca,Guadalajara,1,1,40,15,4,12,7,6,0,2,1,60,20,6,14,10,3,0,1,0,Visitante,6 de feb. 09:00 p. m.,Estadio Chivas,37610,0,75,Toluca Visitante,1.329742209,0.609866699
Pumas,Pachuca,1,1,56,11,4,16,5,2,0,2,0,44,13,3,20,4,3,0,4,0,Local,7 de feb. 12:00 p. m.,Estadio Olimpico Universitario,19105,0,28,Pumas Local,0.917058572,0.730956034
Pachuca,Pumas,1,1,44,13,3,20,4,3,0,4,0,56,11,4,16,5,2,0,2,0,Visitante,7 de feb. 12:00 p. m.,Estadio Olimpico Universitario,19105,0,28,Pachuca Visitante,0.646402462,1.490785263
Veracruz,America,1,1,43,18,6,12,1,6,2,3,1,57,16,8,18,4,5,1,5,0,Local,12 de feb. 07:30 p. m.,Estadio Luis Pirata Fuente,28150,0,94,Veracruz Local,0.775972638,1.736020581
America,Veracruz,1,1,57,16,8,18,4,5,1,5,0,43,18,6,12,1,6,2,3,1,Visitante,12 de feb. 07:30 p. m.,Estadio Luis Pirata Fuente,28150,0,94,America Visitante,1.81328483,0.831636407
Toluca,Atlas,1,1,60,12,2,9,1,5,0,3,0,40,14,6,12,7,1,0,5,0,Local,12 de feb. 08:30 p. m.,Estadio Nemesio Diez Riega,15700,0,58,Toluca Local,1.015818726,0.822325538
Atlas,Toluca,1,1,40,14,6,12,7,1,0,5,0,60,12,2,9,1,5,0,3,0,Visitante,12 de feb. 08:30 p. m.,Estadio Nemesio Diez Riega,15700,0,58,Atlas Visitante,1.246633321,0.731840038
Santos Laguna,Monterrey,1,2,54,11,4,16,8,4,9,3,0,46,13,6,16,4,3,1,4,0,Local,12 de feb. 09:30 p. m.,Estadio Corona,25681,0,86,Santos Laguna Local,0.761864044,0.904558092
Monterrey,Santos Laguna,2,1,46,13,6,16,4,3,1,4,0,54,11,4,16,8,4,9,3,0,Visitante,12 de feb. 09:30 p. m.,Estadio Corona,25681,1,86,Monterrey Visitante,1.385148134,1.084207464
Cruz Azul,Queretaro,2,1,55,9,4,11,5,6,0,2,0,45,18,7,19,5,2,0,2,0,Local,13 de feb. 05:00 p. m.,Estadio Azul,15904,1,43,Cruz Azul Local,0.917058572,1.370542564
Queretaro,Cruz Azul,1,2,45,18,7,19,5,2,0,2,0,55,9,4,11,5,6,0,2,0,Visitante,13 de feb. 05:00 p. m.,Estadio Azul,15904,0,43,Queretaro Visitante,1.81328483,0.720751553
Tigres,Tijuana,1,2,66,15,4,18,5,4,2,4,1,34,12,6,8,3,3,1,1,0,Local,13 de feb. 07:00 p. m.,Estadio Universitario,41493,0,98,Tigres Local,1.558358273,0.897082406
Tijuana,Tigres,2,1,34,12,6,8,3,3,1,1,0,66,15,4,18,5,4,2,4,1,Visitante,13 de feb. 07:00 p. m.,Estadio Universitario,41493,1,98,Tijuana Visitante,1.579068873,1.036773388
Dorados,Pumas,2,3,52,22,6,16,6,3,1,1,0,48,15,6,16,3,4,3,1,0,Local,13 de feb. 09:00 p. m.,Estadio Banorte,16933,0,74,Dorados Local,0.634886704,1.461912068
Pumas,Dorados,3,2,48,15,6,16,3,4,3,1,0,52,22,6,16,6,3,1,1,0,Visitante,13 de feb. 09:00 p. m.,Estadio Banorte,16933,1,74,Pumas Visitante,1.200461716,0.542103732
Guadalajara,Leon,0,1,61,4,2,16,5,3,3,5,1,39,11,4,22,5,2,2,3,0,Local,14 de feb. 12:00 p. m.,Estadio Chivas,38050,0,76,Guadalajara Local,0.555525866,1.747441769
Leon,Guadalajara,1,0,39,11,4,22,5,2,2,3,0,61,4,2,16,5,3,3,5,1,Visitante,14 de feb. 12:00 p. m.,Estadio Chivas,38050,1,76,Leon Visitante,1.0388611,0.609866699
Pachuca,Puebla,5,2,55,24,10,11,10,3,0,1,0,45,14,5,10,4,6,0,1,0,Local,14 de feb. 07:00 p. m.,Estadio Hidalgo,22031,1,73,Pachuca Local,0.49380077,2.010129094
Puebla,Pachuca,2,5,45,14,5,10,4,6,0,1,0,55,24,10,11,10,3,0,1,0,Visitante,14 de feb. 07:00 p. m.,Estadio Hidalgo,22031,0,73,Puebla Visitante,1.163524432,0.609866699
Queretaro,Tigres,2,2,40,8,3,17,2,5,3,1,1,60,23,7,17,8,1,1,4,0,Local,19 de feb. 07:30 p. m.,La Corregidora,29175,0,82,Queretaro Local,1.385207354,0.971839273
Tigres,Queretaro,2,2,60,23,7,17,8,1,1,4,0,40,8,3,17,2,5,3,1,1,Visitante,19 de feb. 07:30 p. m.,La Corregidora,29175,0,82,Tigres Visitante,2.039945434,0.665309126
Tijuana,Morelia,1,1,45,18,8,13,13,4,3,5,0,55,10,5,9,4,5,2,2,0,Local,19 de feb. 09:30 p. m.,Estadio Caliente,27333,0,93,Tijuana Local,1.206284737,1.397953415
Morelia,Tijuana,1,1,55,10,5,9,4,5,2,2,0,45,18,8,13,13,4,3,5,0,Visitante,19 de feb. 09:30 p. m.,Estadio Caliente,27333,0,93,Morelia Visitante,1.14274721,0.762333373
America,Cruz Azul,3,3,44,15,7,14,3,2,0,3,2,56,12,5,13,4,4,0,4,1,Local,20 de feb. 05:00 p. m.,Azteca Stadium,69442,0,67,America Local,1.385207354,1.121353007
Cruz Azul,America,3,3,56,12,5,13,4,4,0,4,1,44,15,7,14,3,2,0,3,2,Visitante,20 de feb. 05:00 p. m.,Azteca Stadium,69442,0,67,Cruz Azul Visitante,1.200461716,1.016444498
Monterrey,Veracruz,5,1,64,17,5,11,3,4,0,0,0,36,18,6,16,9,1,0,2,0,Local,20 de feb. 07:00 p. m.,Estadio BBVA Bancomer,50302,1,94,Monterrey Local,1.058144506,1.461912068
Veracruz,Monterrey,1,5,36,18,6,16,9,1,0,2,0,64,17,5,11,3,4,0,0,0,Visitante,20 de feb. 07:00 p. m.,Estadio BBVA Bancomer,50302,0,94,Veracruz Visitante,1.015775298,1.287496364
Leon,Toluca,5,1,52,18,7,11,2,1,1,3,0,48,10,2,17,4,2,3,4,1,Local,20 de feb. 08:06 p. m.,Estadio Leon,21458,1,69,Leon Local,0.79360838,0.822325538
Toluca,Leon,1,5,48,10,2,17,4,2,3,4,1,52,18,7,11,2,1,1,3,0,Visitante,20 de feb. 08:06 p. m.,Estadio Leon,21458,0,69,Toluca Visitante,1.329742209,0.609866699
Atlas,Pachuca,1,0,40,10,5,24,2,2,1,3,0,60,11,2,15,3,4,3,2,0,Local,20 de feb. 08:30 p. m.,Estadio Jalisco,29918,1,53,Atlas Local,0.952330056,0.986790646
Pachuca,Atlas,0,1,60,11,2,15,3,4,3,2,0,40,10,5,24,2,2,1,3,0,Visitante,20 de feb. 08:30 p. m.,Estadio Jalisco,29918,0,53,Pachuca Visitante,0.646402462,1.490785263
